Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (13),fear,0.6528925619834711,0.6336898395721925,0.6431478968792401,374.0
MFCC CRNN (13),happiness,0.7183908045977011,0.6345177664974619,0.6738544474393531,394.0
MFCC CRNN (13),neutral,0.7142857142857143,0.7584269662921348,0.7356948228882834,356.0
MFCC CRNN (13),sadness,0.6142506142506142,0.6906077348066298,0.6501950585175552,362.0
MFCC CRNN (13),surprise,0.9230769230769231,0.8571428571428571,0.8888888888888888,126.0
MFCC CRNN (13),accuracy,0.7050960735171261,0.7050960735171261,0.7050960735171261,0.7050960735171261
MFCC CRNN (13),macro avg,0.7274127605577018,0.7209913690576935,0.7231684316877433,2394.0
MFCC CRNN (13),weighted avg,0.7070511592117786,0.7050960735171261,0.7050617445900698,2394.0
MFCC CNN (14),anger,0.7948051948051948,0.8225806451612904,0.808454425363276,372.0
MFCC CNN (14),disgust,0.7319587628865979,0.6926829268292682,0.7117794486215538,410.0
MFCC CNN (14),fear,0.7121212121212122,0.6283422459893048,0.6676136363636364,374.0
MFCC CNN (14),happiness,0.7213541666666666,0.7030456852791879,0.712082262210797,394.0
MFCC CNN (14),neutral,0.743801652892562,0.7584269662921348,0.7510431154381085,356.0
MFCC CNN (14),sadness,0.6433734939759036,0.7375690607734806,0.6872586872586872,362.0
MFCC CNN (14),surprise,0.8682170542635659,0.8888888888888888,0.8784313725490196,126.0
MFCC CNN (14),accuracy,0.7314118629908104,0.7314118629908104,0.7314118629908104,0.7314118629908104
MFCC CNN (14),macro avg,0.7450902196588147,0.7473623456019366,0.745237563972154,2394.0
MFCC CNN (14),weighted avg,0.7324174780022039,0.7314118629908104,0.7308537503365988,2394.0
MFCC CRNN (14),anger,0.8157181571815718,0.8091397849462365,0.8124156545209177,372.0
MFCC CRNN (14),disgust,0.6369426751592356,0.7317073170731707,0.681044267877412,410.0
MFCC CRNN (14),fear,0.6608187134502924,0.6042780748663101,0.6312849162011173,374.0
MFCC CRNN (14),happiness,0.7444794952681388,0.5989847715736041,0.6638537271448663,394.0
MFCC CRNN (14),neutral,0.8027681660899654,0.651685393258427,0.7193798449612403,356.0
