Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (14),sadness,0.6411483253588517,0.7403314917127072,0.6871794871794872,362.0
MFCC CNN (14),surprise,0.8813559322033898,0.8253968253968254,0.8524590163934426,126.0
MFCC CNN (14),accuracy,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222
MFCC CNN (14),macro avg,0.7385020158900978,0.7332392460326554,0.7343635937799053,2394.0
MFCC CNN (14),weighted avg,0.7241641512368,0.7222222222222222,0.7216405726885509,2394.0
MFCC CRNN (14),anger,0.8058510638297872,0.8145161290322581,0.8101604278074866,372.0
MFCC CRNN (14),disgust,0.7364130434782609,0.6609756097560976,0.6966580976863753,410.0
MFCC CRNN (14),fear,0.7244897959183674,0.56951871657754,0.6377245508982036,374.0
MFCC CRNN (14),happiness,0.6547619047619048,0.6979695431472082,0.6756756756756757,394.0
MFCC CRNN (14),neutral,0.7002652519893899,0.7415730337078652,0.7203274215552524,356.0
MFCC CRNN (14),sadness,0.6073059360730594,0.7348066298342542,0.665,362.0
MFCC CRNN (14),surprise,0.8760330578512396,0.8412698412698413,0.8582995951417004,126.0
MFCC CRNN (14),accuracy,0.7092731829573935,0.7092731829573935,0.7092731829573935,0.7092731829573935
MFCC CRNN (14),macro avg,0.7293028648431442,0.7229470719035805,0.7234065383949562,2394.0
MFCC CRNN (14),weighted avg,0.714352824384442,0.7092731829573935,0.7088751079822336,2394.0
MFCC CNN (25),anger,0.7750611246943765,0.8521505376344086,0.8117797695262484,372.0
MFCC CNN (25),disgust,0.775623268698061,0.6829268292682927,0.7263294422827496,410.0
MFCC CNN (25),fear,0.6711229946524064,0.6711229946524064,0.6711229946524064,374.0
MFCC CNN (25),happiness,0.7319884726224783,0.6446700507614214,0.6855600539811066,394.0
MFCC CNN (25),neutral,0.6947368421052632,0.7415730337078652,0.717391304347826,356.0
MFCC CNN (25),sadness,0.652605459057072,0.7265193370165746,0.6875816993464052,362.0
MFCC CNN (25),surprise,0.925,0.8809523809523809,0.9024390243902439,126.0
MFCC CNN (25),accuracy,0.7268170426065163,0.7268170426065163,0.7268170426065163,0.7268170426065163
MFCC CNN (25),macro avg,0.7465911659756653,0.7428450234276214,0.743172041218141,2394.0
MFCC CNN (25),weighted avg,0.7292611648846714,0.7268170426065163,0.7263538026117975,2394.0
MFCC CRNN (25),anger,0.8021390374331551,0.8064516129032258,0.8042895442359249,372.0
MFCC CRNN (25),disgust,0.7068062827225131,0.6585365853658537,0.6818181818181818,410.0
MFCC CRNN (25),fear,0.7185430463576159,0.5802139037433155,0.6420118343195266,374.0
MFCC CRNN (25),happiness,0.6807980049875312,0.6928934010152284,0.6867924528301886,394.0
MFCC CRNN (25),neutral,0.6631578947368421,0.7078651685393258,0.6847826086956522,356.0
MFCC CRNN (25),sadness,0.5931818181818181,0.7209944751381215,0.6508728179551122,362.0
MFCC CRNN (25),surprise,0.9391304347826087,0.8571428571428571,0.8962655601659751,126.0
MFCC CRNN (25),accuracy,0.702172096908939,0.702172096908939,0.702172096908939,0.702172096908939
